X,Y,Value,VX1,VY1,VX2,VY2,VX3,VY3
0.00135417,0.0489583,600,0.00125,0.00140625,0.00140625,0.0484375,0.0484375,0.05
0.00130208,0.0494792,600,0.00140625,0.00125,0.00125,0.05,0.05,0.0484375
0.000364583,0.0598958,600,0.00046875,0.0003125,0.0003125,0.059375,0.0609375,0.059375
0.000416667,0.0604167,600,0.00046875,0.0003125,0.00046875,0.0609375,0.0609375,0.059375
0.00135417,0.0119792,600,0.00140625,0.00140625,0.00125,0.0109375,0.0125,0.0125
0.00130208,0.0114583,600,0.00140625,0.00125,0.00125,0.0109375,0.0125,0.0109375
0.00130208,0.0104167,600,0.00140625,0.00125,0.00125,0.0109375,0.0109375,0.009375
0.00135417,0.00989583,600,0.00125,0.00140625,0.00140625,0.009375,0.009375,0.0109375
0.00151042,0.0104167,600,0.00140625,0.0015625,0.0015625,0.0109375,0.009375,0.0109375
0.00145833,0.00989583,600,0.00140625,0.00140625,0.0015625,0.0109375,0.009375,0.009375
0.00145833,0.0119792,600,0.00140625,0.00140625,0.0015625,0.0125,0.0109375,0.0125
0.00151042,0.0114583,600,0.0015625,0.00140625,0.0015625,0.0125,0.0109375,0.0109375
0.00114583,0.0302083,600,0.00109375,0.00125,0.00109375,0.0296875,0.0296875,0.03125
0.00119792,0.0307292,600,0.00109375,0.00125,0.00125,0.03125,0.0296875,0.03125
0.00161458,0.00520833,600,0.0015625,0.0015625,0.00171875,0.00625,0.0046875,0.0046875
0.00166667,0.00572917,600,0.00171875,0.00171875,0.0015625,0.0046875,0.00625,0.00625
0.00151042,0.00520833,600,0.00140625,0.0015625,0.0015625,0.0046875,0.0046875,0.00625
0.00145833,0.00572917,600,0.0015625,0.00140625,0.00140625,0.00625,0.00625,0.0046875
5.20833e-05,0.00416667,600,0,0,0.00015625,0.0046875,0.003125,0.0046875
0.000104167,0.00364583,600,0,0.00015625,0.00015625,0.003125,0.003125,0.0046875
0.000208333,0.00364583,600,0.00015625,0.00015625,0.0003125,0.0046875,0.003125,0.003125
0.000260417,0.00416667,600,0.0003125,0.0003125,0.00015625,0.003125,0.0046875,0.0046875
0.00145833,0.00677083,600,0.00140625,0.0015625,0.00140625,0.00625,0.00625,0.0078125
0.00151042,0.00729167,600,0.00140625,0.0015625,0.0015625,0.0078125,0.00625,0.0078125
0.00145833,0.00885417,600,0.0015625,0.00140625,0.00140625,0.009375,0.009375,0.0078125
0.00151042,0.00833333,600,0.0015625,0.0015625,0.00140625,0.0078125,0.009375,0.0078125
0.00135417,0.00885417,600,0.00140625,0.00140625,0.00125,0.0078125,0.009375,0.009375
0.00130208,0.00833333,600,0.00125,0.00125,0.00140625,0.009375,0.0078125,0.0078125
0.00119792,0.00729167,600,0.00125,0.00125,0.00109375,0.00625,0.0078125,0.0078125
0.00114583,0.00677083,600,0.00125,0.00109375,0.00109375,0.00625,0.0078125,0.00625
0.00135417,0.00677083,600,0.00140625,0.00140625,0.00125,0.00625,0.0078125,0.00625
0.00130208,0.00729167,600,0.00125,0.00140625,0.00125,0.00625,0.0078125,0.0078125
0.00135417,0.00572917,600,0.00140625,0.00140625,0.00125,0.0046875,0.00625,0.00625
0.00130208,0.00520833,600,0.00125,0.00125,0.00140625,0.00625,0.0046875,0.0046875
0.00135417,0.0458333,600,0.00140625,0.00125,0.00140625,0.046875,0.0453125,0.0453125
0.00130208,0.0463542,600,0.00125,0.00125,0.00140625,0.046875,0.0453125,0.046875
0.00151042,0.0463542,600,0.0015625,0.0015625,0.00140625,0.0453125,0.046875,0.046875
0.00145833,0.0458333,600,0.00140625,0.00140625,0.0015625,0.046875,0.0453125,0.0453125
0.00135417,0.0479167,600,0.00140625,0.00140625,0.00125,0.046875,0.0484375,0.0484375
0.00130208,0.0473958,600,0.00140625,0.00125,0.00125,0.046875,0.0484375,0.046875
0.00145833,0.0479167,600,0.0015625,0.00140625,0.00140625,0.0484375,0.0484375,0.046875
0.00151042,0.0473958,600,0.00140625,0.0015625,0.0015625,0.046875,0.046875,0.0484375
0.000572917,0.0463542,600,0.00046875,0.000625,0.000625,0.046875,0.0453125,0.046875
0.000520833,0.0458333,600,0.00046875,0.000625,0.00046875,0.0453125,0.0453125,0.046875
5.20833e-05,0.0463542,600,0.00015625,0,0,0.046875,0.046875,0.0453125
0.000104167,0.0458333,600,0,0.00015625,0.00015625,0.0453125,0.0453125,0.046875
0.000677083,0.0463542,600,0.000625,0.000625,0.00078125,0.046875,0.0453125,0.046875
0.000729167,0.0458333,600,0.00078125,0.000625,0.00078125,0.046875,0.0453125,0.0453125
0.000833333,0.0458333,600,0.00078125,0.0009375,0.00078125,0.0453125,0.0453125,0.046875
0.000885417,0.0463542,600,0.00078125,0.0009375,0.0009375,0.046875,0.0453125,0.046875
0.00119792,0.0463542,600,0.00109375,0.00125,0.00125,0.046875,0.0453125,0.046875
0.00114583,0.0458333,600,0.00109375,0.00125,0.00109375,0.0453125,0.0453125,0.046875
0.000989583,0.0463542,600,0.0009375,0.0009375,0.00109375,0.046875,0.0453125,0.046875
0.00104167,0.0458333,600,0.00109375,0.0009375,0.00109375,0.046875,0.0453125,0.0453125
0.00260417,0.0447917,600,0.00265625,0.0025,0.00265625,0.0453125,0.0453125,0.04375
0.00255208,0.0442708,600,0.00265625,0.0025,0.0025,0.04375,0.0453125,0.04375
0.000416667,0.0458333,600,0.00046875,0.00046875,0.0003125,0.0453125,0.046875,0.0453125
0.000364583,0.0463542,600,0.0003125,0.00046875,0.0003125,0.0453125,0.046875,0.046875
0.000208333,0.0458333,600,0.0003125,0.00015625,0.00015625,0.0453125,0.046875,0.0453125
0.000260417,0.0463542,600,0.0003125,0.00015625,0.0003125,0.046875,0.046875,0.0453125
5.20833e-05,0.0442708,600,0,0,0.00015625,0.0453125,0.04375,0.04375
0.000104167,0.0447917,600,0.00015625,0.00015625,0,0.04375,0.0453125,0.0453125
0.000208333,0.0447917,600,0.00015625,0.0003125,0.00015625,0.04375,0.0453125,0.0453125
0.000260417,0.0442708,600,0.0003125,0.0003125,0.00015625,0.04375,0.0453125,0.04375
0.000729167,0.0447917,600,0.00078125,0.000625,0.00078125,0.0453125,0.0453125,0.04375
0.000677083,0.0442708,600,0.00078125,0.000625,0.000625,0.04375,0.0453125,0.04375
0.000833333,0.0447917,600,0.00078125,0.0009375,0.00078125,0.04375,0.0453125,0.0453125
0.000885417,0.0442708,600,0.0009375,0.0009375,0.00078125,0.04375,0.0453125,0.04375
0.00114583,0.0447917,600,0.00109375,0.00125,0.00109375,0.04375,0.0453125,0.0453125
0.00119792,0.0442708,600,0.00125,0.00125,0.00109375,0.04375,0.0453125,0.04375
0.00104167,0.0447917,600,0.00109375,0.0009375,0.00109375,0.0453125,0.0453125,0.04375
0.000989583,0.0442708,600,0.00109375,0.0009375,0.0009375,0.04375,0.0453125,0.04375
0.00494792,0.0192708,600,0.005,0.005,0.00484375,0.01875,0.0203125,0.01875
0.00489583,0.0197917,600,0.005,0.00484375,0.00484375,0.0203125,0.0203125,0.01875
0.00473958,0.0223958,600,0.00484375,0.0046875,0.0046875,0.021875,0.0234375,0.021875
0.00479167,0.0229167,600,0.00484375,0.0046875,0.00484375,0.0234375,0.0234375,0.021875
0.00494792,0.0223958,600,0.00484375,0.005,0.005,0.021875,0.021875,0.0234375
0.00489583,0.0229167,600,0.005,0.00484375,0.00484375,0.0234375,0.0234375,0.021875
0.00473958,0.0213542,600,0.00484375,0.0046875,0.0046875,0.021875,0.021875,0.0203125
0.00479167,0.0208333,600,0.0046875,0.00484375,0.00484375,0.0203125,0.0203125,0.021875
0.00494792,0.0213542,600,0.005,0.005,0.00484375,0.0203125,0.021875,0.021875
0.00489583,0.0208333,600,0.00484375,0.00484375,0.005,0.021875,0.0203125,0.0203125
0.00255208,0.0130208,600,0.00265625,0.0025,0.0025,0.0125,0.0140625,0.0125
0.00260417,0.0135417,600,0.00265625,0.0025,0.00265625,0.0140625,0.0140625,0.0125
0.00270833,0.0135417,600,0.00265625,0.0028125,0.00265625,0.0125,0.0140625,0.0140625
0.00276042,0.0130208,600,0.0028125,0.0028125,0.00265625,0.0125,0.0140625,0.0125
0.00494792,0.0145833,600,0.005,0.005,0.00484375,0.0140625,0.015625,0.0140625
0.00489583,0.0151042,600,0.00484375,0.005,0.00484375,0.0140625,0.015625,0.015625
5.20833e-05,0.0604167,600,0.00015625,0,0,0.0609375,0.0609375,0.059375
0.000104167,0.0598958,600,0,0.00015625,0.00015625,0.059375,0.059375,0.0609375
0.000260417,0.0604167,600,0.0003125,0.0003125,0.00015625,0.059375,0.0609375,0.0609375
0.000208333,0.0598958,600,0.00015625,0.00015625,0.0003125,0.0609375,0.059375,0.059375
5.20833e-05,0.0583333,600,0,0,0.00015625,0.059375,0.0578125,0.0578125
0.000104167,0.0588542,600,0.00015625,0.00015625,0,0.0578125,0.059375,0.059375
0.000208333,0.0588542,600,0.0003125,0.00015625,0.00015625,0.059375,0.059375,0.0578125
